id,target_market
base.ax,True
base.cf,True
base.ne,True
base.td,True
base.gw,True
base.bf,True
base.ml,True
base.et,True
base.tg,True
base.gn,True
base.bj,True
base.km,True
base.pk,True
base.sn,True
base.cm,True
base.ke,True
base.in,True
base.ci,True
base.hn,True
base.bo,True
base.vn,True
base.eg,True
base.mn,True
base.id,True
base.ua,True
base.gt,True
base.ec,True
base.co,True
base.pe,True
base.gq,True
base.tw,True
base.za,True
base.th,True
base.ga,True
base.do,True
base.tr,True
base.mx,True
base.ar,True
base.cr,True
base.cn,True
base.om,True
base.pa,True
base.ro,True
base.cl,True
base.uy,True
base.ve,True
base.pl,True
base.hr,True
base.hu,True
base.sa,True
base.sk,True
base.lt,True
base.pt,True
base.si,True
base.es,True
base.kw,True
base.it,True
base.jp,True
base.nz,True
base.ca,True
base.il,True
base.de,True
base.at,True
base.hk,True
base.fi,True
base.nl,True
base.au,True
base.qa,True
base.se,True
base.sg,True
base.dk,True
base.us,True
base.ie,True
base.lu,True
base.ch,True
base.no,True
base.sy,True
base.kp,True
base.kr,True
base.al,True
base.br,True
base.gr,True
base.ao,True
base.be,True
base.bg,True
